"date","observed"
"2018-09-15T03:44:00.00Z",12904882
"2018-09-15T03:45:00.00Z",13802036
"2018-09-15T03:46:00.00Z",10286405
"2018-09-15T03:47:00.00Z",10289592
"2018-09-15T03:48:00.00Z",10419478
"2018-09-15T03:49:00.00Z",12082404
"2018-09-15T03:50:00.00Z",15145692
"2018-09-15T03:51:00.00Z",14030583
"2018-09-15T03:52:00.00Z",12037750
"2018-09-15T03:53:00.00Z",11661588
"2018-09-15T03:54:00.00Z",11855809
"2018-09-15T03:55:00.00Z",9478620
"2018-09-15T03:56:00.00Z",8381280
"2018-09-15T03:57:00.00Z",8628556
"2018-09-15T03:58:00.00Z",12791212
"2018-09-15T03:59:00.00Z",11567442
"2018-09-15T04:00:00.00Z",12464947
"2018-09-15T04:01:00.00Z",11322078
"2018-09-15T04:02:00.00Z",11302111
"2018-09-15T04:03:00.00Z",11262162
"2018-09-15T04:04:00.00Z",15441146
"2018-09-15T04:05:00.00Z",13311692
"2018-09-15T04:06:00.00Z",10719919
"2018-09-15T04:07:00.00Z",14954921
"2018-09-15T04:08:00.00Z",9565667
"2018-09-15T04:09:00.00Z",11480435
"2018-09-15T04:10:00.00Z",13427500
"2018-09-15T04:11:00.00Z",15479023
"2018-09-15T04:12:00.00Z",10256174
"2018-09-15T04:13:00.00Z",12483185
"2018-09-15T04:14:00.00Z",13356761
"2018-09-15T04:15:00.00Z",12818595
"2018-09-15T04:16:00.00Z",13593238
"2018-09-15T04:17:00.00Z",13268542
"2018-09-15T04:18:00.00Z",15267200
"2018-09-15T04:19:00.00Z",11496213
"2018-09-15T04:20:00.00Z",11934049
"2018-09-15T04:21:00.00Z",11266846
"2018-09-15T04:22:00.00Z",15254829
"2018-09-15T04:23:00.00Z",13447447
"2018-09-15T04:24:00.00Z",11252978
"2018-09-15T04:25:00.00Z",12979500
"2018-09-15T04:26:00.00Z",11040250
"2018-09-15T04:27:00.00Z",11895327
"2018-09-15T04:28:00.00Z",13124695
"2018-09-15T04:29:00.00Z",11540902
"2018-09-15T04:30:00.00Z",10108833
"2018-09-15T04:31:00.00Z",14147182
"2018-09-15T04:32:00.00Z",12329341
"2018-09-15T04:33:00.00Z",15508729
"2018-09-15T04:34:00.00Z",12285789
"2018-09-15T04:35:00.00Z",10586091
"2018-09-15T04:36:00.00Z",11874974
"2018-09-15T04:37:00.00Z",13798128
"2018-09-15T04:38:00.00Z",13116721
"2018-09-15T04:39:00.00Z",12459103
"2018-09-15T04:40:00.00Z",14690119
"2018-09-15T04:41:00.00Z",13598706
"2018-09-15T04:42:00.00Z",14726590
"2018-09-15T04:43:00.00Z",12893064
"2018-09-15T04:44:00.00Z",13682133
"2018-09-15T04:45:00.00Z",14964564
"2018-09-15T04:46:00.00Z",11655581
"2018-09-15T04:47:00.00Z",14052413
"2018-09-15T04:48:00.00Z",11895233
"2018-09-15T04:49:00.00Z",12288256
"2018-09-15T04:50:00.00Z",15853588
"2018-09-15T04:51:00.00Z",7620281
"2018-09-15T04:52:00.00Z",11698868
"2018-09-15T04:53:00.00Z",9795050
"2018-09-15T04:54:00.00Z",11865306
"2018-09-15T04:55:00.00Z",11513559
"2018-09-15T04:56:00.00Z",9052730
"2018-09-15T04:57:00.00Z",11772658
"2018-09-15T04:58:00.00Z",12160881
"2018-09-15T04:59:00.00Z",10676447
"2018-09-15T05:00:00.00Z",10304024
"2018-09-15T05:01:00.00Z",10903870
"2018-09-15T05:02:00.00Z",9168192
"2018-09-15T05:03:00.00Z",10162561
"2018-09-15T05:04:00.00Z",8063531
"2018-09-15T05:05:00.00Z",12045026
"2018-09-15T05:06:00.00Z",10308343
"2018-09-15T05:07:00.00Z",12113316
"2018-09-15T05:08:00.00Z",13579903
"2018-09-15T05:09:00.00Z",12721900
"2018-09-15T05:10:00.00Z",10281811
"2018-09-15T05:11:00.00Z",14914306
